model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,roc_auc_weighted_ovr,high_precision,high_recall,high_f1,param_C,param_class_weight,param_solver,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
random_forest,0.8823529411764706,0.8831419209111444,0.8823529411764706,0.881921319629443,0.8824104532163742,0.9701601430767245,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,10.0,log2,2.0,2.0,200.0
random_forest,0.8823529411764706,0.8831419209111444,0.8823529411764706,0.881921319629443,0.8824104532163742,0.9701601430767245,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,10.0,log2,2.0,4.0,200.0
random_forest,0.8823529411764706,0.8831419209111444,0.8823529411764706,0.881921319629443,0.8824104532163742,0.9694573188057611,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,10.0,sqrt,2.0,2.0,600.0
random_forest,0.8823529411764706,0.8831419209111444,0.8823529411764706,0.881921319629443,0.8824104532163742,0.9694573188057611,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,10.0,sqrt,2.0,4.0,600.0
random_forest,0.8823529411764706,0.8831419209111444,0.8823529411764706,0.881921319629443,0.8824104532163742,0.9694573188057611,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,10.0,log2,2.0,2.0,600.0
random_forest,0.8823529411764706,0.8831419209111444,0.8823529411764706,0.881921319629443,0.8824104532163742,0.9694573188057611,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,10.0,log2,2.0,4.0,600.0
random_forest,0.8823529411764706,0.8824609893479207,0.8823529411764706,0.8820300072626157,0.882230701624084,0.9701110420157749,0.84375,0.8901098901098901,0.8663101604278075,,balanced,,20.0,sqrt,1.0,4.0,200.0
random_forest,0.8823529411764706,0.8824609893479207,0.8823529411764706,0.8820300072626157,0.882230701624084,0.9701110420157749,0.84375,0.8901098901098901,0.8663101604278075,,balanced,,20.0,log2,1.0,4.0,200.0
random_forest,0.8823529411764706,0.88205736864412,0.8823529411764706,0.8821328129467814,0.8818740937013105,0.9703254260701614,0.8757062146892656,0.8516483516483516,0.8635097493036211,,,,20.0,sqrt,2.0,2.0,200.0
random_forest,0.8823529411764706,0.88205736864412,0.8823529411764706,0.8821328129467814,0.8818740937013105,0.9703254260701613,0.8757062146892656,0.8516483516483516,0.8635097493036211,,,,20.0,sqrt,2.0,4.0,200.0
